"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - PETROBRAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010
Ativo Total,965.248.025,949.086.978,860.473.000,866.755.936,850.281.955,824.153.014,831.515.001,803.870.015,808.054.030,788.046.021,804.945.002,803.206.005,818.332.041,859.159.986,900.134.994,931.561.996,859.298.988,831.948.063,793.374.949,815.741.010,800.370.000,802.014.626,752.966.631,758.432.793,749.027.656,695.313.170,677.716.296,646.683.165,628.027.752,615.818.461,599.149.969,582.124.896,554.583.458,544.945.275,519.970.030
Ativo Circulante,181.333.000,130.604.999,143.606.006,150.200.992,144.255.009,145.411.998,155.908.997,143.941.992,142.435.009,134.058.000,145.907.007,144.752.984,132.624.998,146.243.011,169.580.986,176.380.002,160.379.994,137.564.996,135.023.010,142.950.007,144.270.000,159.665.095,123.350.376,137.242.591,144.710.009,116.893.311,118.101.811,125.807.690,116.320.633,126.373.536,121.163.678,120.493.400,119.493.476,120.036.377,106.685.161
Caixa e Equivalentes de Caixa AC,64.051.999,36.475.998,53.853.999,56.803.000,65.536.000,66.361.999,74.494.001,74.430.996,77.969.998,60.873.998,69.107.999,70.059.999,62.940.000,77.778.002,97.845.002,99.869.999,81.166.000,34.450.002,44.239.000,49.623.998,58.140.000,68.466.528,37.171.823,39.349.920,51.249.525,27.235.076,27.628.003,30.187.315,26.318.336,39.904.494,35.747.242,33.659.195,34.672.615,43.344.818,30.323.259
Aplicações Financeiras AC,2.456.000,4.370.000,4.198.000,4.164.000,4.060.000,3.905.000,6.237.000,5.744.000,3.317.000,2.909.000,2.556.000,2.542.000,2.430.000,2.729.000,3.047.000,4.379.000,10.478.000,33.828.000,24.763.001,20.674.001,8.236.000,10.025.962,9.100.566,18.545.838,21.782.053,19.301.607,21.315.725,22.673.562,19.668.449,18.002.805,16.808.468,21.410.791,24.969.263,20.015.772,26.017.296
Contas a Receber AC,15.509.000,19.335.999,22.264.001,25.660.000,19.385.000,15.631.000,16.446.000,16.525.000,14.477.000,14.042.000,15.543.000,16.953.000,17.047.000,18.865.000,22.659.000,21.155.000,20.050.000,20.736.999,21.167.000,21.549.001,23.412.001,24.040.520,22.652.363,21.519.276,22.130.065,22.441.980,22.680.508,23.291.283,22.587.245,21.436.549,21.974.700,20.466.373,18.762.930,17.777.672,17.333.975
Estoques AC,34.237.999,32.962.001,34.822.001,38.864.998,35.534.000,29.361.000,28.081.000,25.851.001,26.621.000,26.172.000,27.622.001,27.627.000,28.508.000,29.098.000,29.056.999,32.585.001,33.771.000,32.031.001,30.457.000,32.437.000,37.407.998,35.259.679,33.323.520,33.570.384,31.097.264,31.801.612,29.735.948,30.355.708,30.159.057,29.396.161,28.446.925,27.397.235,25.751.417,23.868.891,19.815.676
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,9.026.000,8.299.000,7.883.000,9.441.000,9.006.000,8.334.000,8.062.000,7.899.000,8.361.000,8.167.000,8.153.000,8.709.000,9.285.000,10.612.000,10.732.000,10.172.000,9.927.000,9.674.000,10.123.000,8.603.000,8.344.000,11.609.575,11.645.732,15.246.380,13.482.127,10.736.508,11.386.585,12.614.975,11.884.001,12.179.723,12.845.667,12.568.754,11.322.895,10.178.227,8.934.797
Despesas Antecipadas AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.386.799,2.212.821,2.270.287,2.067.556,1.692.488,2.128.645,1.673.936,1.569.535,1.328.418,1.449.748,1.218.744,1.282.752,1.006.419
Outros Ativos Circulantes AC,56.051.999,29.162.000,20.585.001,15.268.000,10.734.000,21.819.001,22.589.000,13.492.000,11.689.000,21.894.001,22.925.001,18.862.000,12.415.000,7.161.000,6.241.000,8.219.000,4.988.000,6.845.000,4.274.000,10.063.000,8.730.000,10.262.817,8.069.577,6.797.979,2.698.705,3.308.970,3.662.553,4.556.200,4.029.610,3.884.271,4.012.266,3.541.308,2.795.611,3.568.239,3.253.738
Ativo Realizavel Longo Prazo ,81.959.002,87.135.003,85.477.999,81.576.002,80.529.998,72.314.003,70.955.000,66.247.000,67.520.000,63.457.001,66.551.001,61.226.000,59.874.001,67.617.001,74.879.001,69.189.001,56.230.998,54.911.001,50.104.001,47.874.998,45.138.002,45.838.041,43.999.363,60.923.814,58.360.390,53.752.590,47.215.186,37.763.990,43.614.257,41.317.528,41.187.320,41.251.119,38.248.833,38.680.605,38.469.951
Aplicações Financeiras Avaliadas a Valor Justo ACLP,0,0,0,0,0,0,0,0,0,0,0,8.000,21.000,21.000,21.000,3.000,5.000,5.000,6.000,13.000,22.000,21.481,30.703,32.213,33.149,60.464,69.747,348.745,6.003.113,5.725.833,5.472.748,5.197.074,4.935.612,4.907.417,4.981.553
Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,0,0,0,0,0,211.000,211.000,734.000,715.000,713.000,293.000,289.000,290.000,327.000,321.000,338.000,293.000,289.000,284.000,281.000,277.000,273.992,276.514,300.775,304.342,309.954,289.284,289.188,288.321,283.587,274.363,271.636,263.729,219.955,225.953
Contas a Receber ACLP,200.000,203.000,205.000,199.000,200.000,16.124.000,17.120.000,16.000.000,17.423.999,14.511.000,14.832.000,11.959.000,12.976.000,13.841.000,14.327.000,17.017.000,16.219.000,16.010.000,14.441.000,12.708.000,12.660.000,11.520.449,5.581.232,5.326.680,5.193.339,4.664.989,5.230.502,5.471.612,5.488.113,5.226.506,5.122.163,5.473.781,4.609.358,4.684.615,4.829.451
Estoques ACLP,18.808.001,20.657.000,21.280.999,17.827.000,19.090.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.545,114.315,93.845,99.387,91.847,89.927,89.897,81.573,84.122,109.786,92.331,91.355,91.161
Ativos Biológicos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,0,0,0,0,21.554.999,21.543.999,20.512.000,20.034.001,20.120.001,24.274.000,22.388.001,20.362.000,27.126.000,34.507.002,25.433.999,13.220.000,13.618.000,13.318.000,13.662.000,13.827.000,15.868.694,15.250.712,33.057.851,31.718.097,29.008.296,21.965.812,17.741.363,18.407.311,16.314.815,17.255.799,17.243.892,16.913.208,17.068.494,17.210.855
Despesas Antecipadas ACLP,23.495.000,24.345.000,24.100.999,25.684.001,25.615.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.134.187,2.823.246,2.671.932,2.691.313,2.663.420,2.383.539,2.174.970,2.306.940,1.902.789,2.042.412,1.657.556,1.433.825,1.225.919
Créditos com Partes Relacionadas ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.034.449,4.478.904,3.890.726,3.937.014,3.844.950,79.538,101.457,97.187,148.508,128.205,120.532,284.211,126.448
Outros Ativos Não Circulantes ACLP,0,0,0,0,0,34.424.001,32.079.999,29.001.001,29.347.000,28.113.000,27.151.999,26.582.000,26.225.000,26.301.999,25.703.000,26.397.000,26.493.999,24.989.000,22.055.000,21.211.001,18.352.001,18.153.423,14.569.022,14.789.827,14.454.957,12.981.172,13.059.623,11.360.074,11.061.074,11.281.089,10.926.826,10.784.337,9.656.504,9.990.731,9.778.613
Investimentos,14.584.001,11.266.000,10.690.000,13.396.000,12.287.000,12.674.000,12.554.000,12.660.000,12.307.000,10.699.000,9.948.000,12.955.000,13.088.000,14.215.999,13.772.000,15.987.000,15.587.000,15.856.000,15.282.000,15.537.000,15.669.000,15.619.421,15.615.384,15.104.980,14.610.342,11.755.720,12.476.892,12.150.947,11.864.898,12.324.189,12.248.080,9.095.671,9.237.263,9.222.102,8.879.163
Imobilizado,677.471.977,709.226.988,609.828.995,610.728.018,605.484.024,585.947.021,584.356.987,570.782.974,575.241.978,569.235.014,571.875.983,573.385.998,601.165.988,619.223.974,629.830.975,657.873.043,615.095.992,611.378.004,580.990.009,591.605.989,559.334.949,544.913.654,533.880.308,464.647.619,451.353.346,431.874.146,418.715.664,388.646.502,373.934.588,353.667.252,342.266.905,327.771.652,304.924.525,294.164.759,282.837.549
Intangível,9.900.000,10.854.000,10.870.000,10.855.000,7.726.000,7.806.000,7.740.000,10.238.000,10.550.000,10.597.000,10.663.000,10.886.000,11.579.000,11.860.000,12.071.999,12.133.000,12.005.000,12.238.000,11.975.999,17.773.001,35.958.002,35.978.473,36.121.194,80.513.778,79.993.561,81.037.361,81.206.755,82.314.019,82.293.416,82.135.908,82.283.987,83.513.065,82.679.431,82.841.469,83.098.190
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Total,965.248.025,949.086.978,860.473.000,866.755.936,850.281.955,824.153.014,831.515.001,803.870.015,808.054.030,788.046.021,804.945.002,803.206.005,818.332.041,859.159.986,900.134.994,931.561.996,859.298.988,831.948.063,793.374.949,815.741.010,800.370.000,802.014.626,752.966.631,758.432.793,749.027.656,695.313.170,677.716.296,646.683.165,628.027.752,615.818.461,599.149.969,582.124.896,554.583.458,544.945.275,519.970.030
Passivo Circulante,138.346.004,113.538.998,97.067.999,94.071.996,84.649.001,78.116.004,82.534.998,71.248.003,69.968.003,78.477.001,81.167.000,82.830.000,83.681.001,107.458.003,111.572.001,109.719.003,100.595.999,90.358.997,82.659.000,84.708.000,75.255.996,83.746.333,82.524.529,69.960.163,68.163.985,68.529.086,69.620.580,64.248.496,62.912.119,65.952.465,68.212.335,67.711.238,60.821.152,60.590.326,56.834.675
Obrigações Sociais e Trabalhistas PC,6.511.000,7.082.000,6.426.000,6.781.000,6.013.000,4.920.000,4.331.000,5.240.000,5.217.000,6.020.000,7.159.000,8.261.000,6.081.000,4.871.000,5.085.000,6.156.000,5.472.000,6.168.000,5.489.000,7.931.000,5.709.000,6.361.671,4.806.121,6.480.930,4.863.915,4.163.907,4.420.579,4.059.793,3.436.238,2.974.570,3.182.067,3.340.274,2.942.302,2.568.596,2.605.810
Fornecedores PC,21.831.999,22.912.000,24.516.000,27.458.001,20.768.999,18.027.000,19.076.999,18.948.999,17.001.000,14.925.000,18.781.000,17.334.000,17.840.001,20.754.999,24.913.000,26.641.000,24.580.999,25.067.999,25.924.000,27.658.000,27.551.001,26.905.199,26.721.401,24.648.884,24.127.445,24.117.803,23.735.509,25.374.960,22.352.372,20.490.271,21.417.527,21.156.510,18.616.455,18.600.657,17.043.678
Obrigações Fiscais PC,4.286.000,1.464.000,817.000,1.514.000,1.648.000,1.625.000,990.000,1.151.000,2.162.000,237.000,412.000,647.000,669.000,1.125.000,410.000,860.000,910.000,1.028.000,657.000,823.000,838.000,734.543,11.596.803,11.071.224,10.357.364,11.732.359,12.521.622,10.521.299,11.034.226,10.968.638,10.968.716,11.268.713,11.546.982,10.792.274,10.250.098
Empréstimos e Financiamentos PC,44.380.000,36.082.999,14.296.001,16.235.000,15.353.000,15.474.000,23.243.999,23.428.999,25.984.999,34.971.001,31.855.000,37.100.999,36.513.001,62.125.998,57.381.999,53.376.000,44.655.002,39.721.001,31.565.001,28.242.999,23.535.000,21.843.616,18.782.900,18.189.128,18.199.052,14.564.371,15.319.805,15.340.941,17.610.772,18.018.198,18.966.327,20.019.053,16.737.001,16.595.449,15.668.290
Passivos com Partes Relacionadas PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.200.966,1.264.644,1.139.205,928.801,1.039.305,964.493,706.030,875.270,834.291,206.691,178.690,173.431,148.798
Dividendos e JCP a Pagar PC,1.272.000,4.356.000,4.296.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.526.552,9.301.024,0,2.898.598,6.256.967,6.153.528,0,0,4.256.188,3.878.129,2.608.899,2.608.899,4.215.717,3.595.303
Outros PC,23.719.001,21.135.000,26.279.000,26.862.000,25.497.999,23.819.000,23.344.001,18.865.000,16.237.000,18.224.001,18.683.001,16.262.000,16.662.000,15.864.001,20.738.001,20.238.000,22.676.001,16.130.000,16.909.000,17.264.001,15.126.000,15.221.458,5.689.092,5.622.231,4.991.870,5.088.115,4.820.607,6.489.964,6.349.630,6.870.072,7.538.239,7.756.852,6.908.326,6.295.796,6.219.601
Provisões PC,14.335.000,16.550.000,16.630.000,15.070.000,15.203.000,13.758.000,10.254.000,2.842.000,2.665.000,2.853.000,2.672.000,2.753.000,2.563.000,2.717.000,2.556.000,2.253.000,2.109.000,2.244.000,2.115.000,2.198.000,1.909.000,2.007.631,1.912.388,1.664.700,1.586.539,1.676.769,1.609.627,1.497.044,1.422.854,1.499.257,1.427.035,1.354.246,1.282.493,1.348.403,1.303.097
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,22.011.001,3.957.000,3.808.000,152.000,165.000,493.000,1.295.000,772.000,701.000,1.247.000,1.605.000,472.000,3.353.000,0,488.000,195.000,193.000,0,0,591.000,588.000,1.145.664,2.513.837,1.018.419,0,0,0,0,0,0,0,0,0,0,0
Passivo Não Circulante,517.483.987,546.516.992,479.862.030,476.508.979,478.184.997,468.284.015,479.371.002,468.103.004,476.942.008,449.053.000,471.035.019,458.359.996,459.358.994,485.319.016,530.632.999,530.860.999,449.300.005,435.876.987,399.993.995,388.637.000,362.873.979,362.498.654,321.108.410,345.370.427,340.838.121,289.119.076,262.662.046,237.786.268,226.226.668,211.043.598,198.714.032,183.216.882,167.419.625,166.162.825,152.912.036
Empréstimos e Financiamentos PNC,342.782.018,376.995.021,312.580.014,336.566.026,338.270.028,325.504.991,338.238.996,335.983.018,350.601.970,329.787.015,353.929.003,361.064.006,361.247.015,387.889.005,435.466.994,453.208.015,370.894.012,360.918.024,319.470.010,303.461.007,284.177.007,286.303.191,249.037.996,232.676.770,230.841.532,182.369.583,180.993.540,171.215.487,161.564.475,146.118.312,136.588.370,126.825.021,111.561.425,112.404.455,102.247.023
Passivos com Partes Relacionadas PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.612,541.758,391.076,201.816,181.350,193.099,219.630,188.352,187.149,201.878,176.396,175.880,179.202
Outros PNC,2.089.000,2.115.000,2.139.000,2.161.000,2.180.000,2.249.000,2.219.000,2.950.000,2.922.000,0,0,0,0,0,0,0,0,0,0,0,0,0,1.309.112,1.614.125,1.908.145,1.423.878,1.395.259,1.188.610,1.239.518,1.476.862,1.816.266,1.145.853,1.062.763,1.116.111,1.169.841
Tributos Diferidos PNC,14.698.000,2.563.000,2.536.000,1.745.000,1.637.000,5.608.000,3.956.000,6.721.000,3.526.000,789.000,856.000,888.000,782.000,812.000,906.000,1.156.000,4.927.000,840.000,8.052.000,21.923.000,28.054.000,25.624.144,23.206.031,45.640.090,43.315.970,41.967.821,39.261.602,36.314.427,34.821.095,35.601.940,33.268.472,30.726.025,30.846.618,28.960.516,26.160.593
Adiantamento para Futuro Aumento Capital PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provisões PNC,157.915.005,164.843.995,162.607.006,136.036.991,136.097.997,134.922.002,134.956.990,122.449.002,119.892.001,118.476.997,116.250.001,96.408.003,97.330.004,96.617.996,94.260.003,76.497.002,73.478.996,74.118.996,72.472.003,63.253.000,50.643.001,50.571.346,47.168.672,64.897.708,64.381.399,63.155.970,40.830.296,28.874.643,28.381.944,27.658.140,26.853.786,24.318.108,23.772.420,23.505.873,23.155.372
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucros e Receitas a Apropriar PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participação dos Acionistas Não Controladores,5.799.000,6.372.000,6.318.000,5.810.000,5.309.000,5.790.000,5.624.000,2.755.000,2.509.000,2.696.000,2.513.000,2.481.000,3.897.000,3.717.000,3.199.000,1.543.000,2.183.000,1.954.000,1.874.000,1.071.000,1.540.000,1.279.056,1.393.791,1.789.943,1.760.431,2.227.710,2.353.980,2.190.925,2.113.094,2.565.967,2.384.730,2.791.978,3.631.129,3.410.560,3.458.118
Patrimônio Líquido,303.619.000,282.658.996,277.225.011,290.365.010,282.139.006,271.963.004,263.984.993,261.764.008,258.635.003,257.820.004,250.230.008,259.535.008,271.394.996,262.666.016,254.731.002,289.439.003,307.219.993,303.758.005,308.847.970,341.325.010,360.700.016,354.490.624,347.939.893,341.312.218,338.265.110,335.437.289,343.079.690,342.457.459,336.775.921,336.256.431,329.838.881,328.404.782,322.711.576,314.781.564,306.765.189
Capital Social Realizado,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.431.996,205.410.910,205.410.910,205.410.910,205.410.910,205.392.151,205.392.151,205.392.151,205.392.151,205.392.151,205.379.731,205.379.731,205.379.731,205.357.105,205.357.105
Reservas de Capital,2.458.000,2.458.000,2.458.000,2.457.000,2.457.000,2.457.000,2.457.000,1.036.000,1.046.000,1.034.000,1.035.000,45.000,37.000,37.000,21.000,-645.000,-646.000,-646.000,-646.000,656.000,656.000,641.482,736.885,658.004,677.845,641.468,630.288,625.114,644.488,558.944,562.643,101.923,48.674,1.847,-6.257
Reservas de Reavaliação,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reservas de Lucros,116.955.996,99.398.001,95.363.998,98.726.003,92.760.998,83.339.002,77.364.003,77.799.997,77.799.997,77.799.997,77.799.997,92.612.002,92.612.002,92.612.002,92.612.002,127.437.996,127.437.996,127.437.996,149.015.003,149.015.003,149.015.003,149.035.713,149.035.713,134.910.067,134.910.067,134.928.835,134.928.835,122.611.712,122.611.712,122.611.712,122.624.131,101.301.101,101.301.101,101.323.727,101.323.727
Lucros/Prejuízos Acumulados,0,0,0,0,0,0,0,5.038.000,4.770.000,4.451.000,0,-17.323.999,-869.000,-1.243.000,0,2.110.000,5.866.000,5.333.000,-21.577.001,5.021.000,10.357.000,5.395.469,0,17.142.516,13.745.234,7.541.654,0,10.765.923,5.247.747,6.607.815,0,20.445.116,16.710.102,8.376.065,0
Ajustes de Avaliação Patrimonial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.760.000,-5.992.973,-12.439.537,-20.738.656,-20.425.189,-14.768.188,50.510,3.062.563,2.879.834,1.085.806,345.700,250.479,144.754,177.879,287.084
Ajustes Acumulados de Conversão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.195.931,3.929.412,3.946.262,1.701.367,2.077.909,0,0,0,926.685,926.437,-872.763,-455.045,-196.479
Outros Resultados Abrangentes,-21.227.000,-24.629.000,-26.029.001,-16.250.000,-18.511.000,-19.264.999,-21.268.001,-27.542.000,-30.413.001,-30.897.000,-34.037.000,-21.230.000,-25.817.000,-34.172.000,-43.334.001,-44.896.002,-30.870.000,-33.799.000,-23.375.999,-18.799.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adiantamento para Futuro Aumento Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
